gateway_id,source_key,rt_id,unit_expected,enabled,notes
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Reciclada::m3",uja.linares.agua.consumo.reciclada_lluvia.v_m3,m3,true,"observed payload: agua reciclada de lluvia"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Riego_Aulario::m3",uja.linares.agua.consumo.riego_aulario.v_m3,m3,true,"observed payload: riego aulario"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Departamental::m3",uja.linares.agua.consumo.departamental.v_m3,m3,true,"observed payload: edificio departamental"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Laboratorios::m3",uja.linares.agua.consumo.laboratorios.v_m3,m3,true,"observed payload: edificio laboratorios"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Comedor::m3",uja.linares.agua.consumo.comedor.v_m3,m3,true,"observed payload: comedor-cocina"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Cafeteria::m3",uja.linares.agua.consumo.cafeteria.v_m3,m3,true,"observed payload: cafeteria"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_S_Generales::m3",uja.linares.agua.consumo.servicios_generales.v_m3,m3,true,"observed payload: servicios generales; sentinels filtered by ingest"
gw_linares_mix,"CCTL-TOTAL.Cons_Agua_Polideportivo::m3",uja.linares.agua.consumo.pabellon_polideportivo.v_m3,m3,true,"observed payload: polideportivo"
gw_linares_mix,"CCTL-TOTAL.Cons_Elec_Lab_SG_T1::KW sys",uja.linares.energia.consumo.lab_sg_t1.p_kw,kW,true,"observed payload: potencia transformador 1"
gw_linares_mix,"CCTL-TOTAL.Cons_Elec_Lab_SG_T2::KW sys",uja.linares.energia.consumo.lab_sg_t2.p_kw,kW,true,"observed payload: potencia transformador 2"
gw_linares_mix,"CCTL-TOTAL.Cons_Elec_Urbanización::KW sys",uja.linares.energia.consumo.urbanizacion.p_kw,kW,true,"observed payload: potencia urbanizacion"
gw_linares_mix,"CCTL-TOTAL.Cons_Elec_Aulario::KW sys",uja.linares.energia.consumo.aulario_departamental.p_kw,kW,true,"observed payload: potencia aulario/departamental"
gw_linares_mix,"CCTL-TOTAL.Cons_Elec_Polideportivo::KW sys",uja.linares.energia.consumo.polideportivo.p_kw,kW,true,"observed payload: potencia polideportivo"
